Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.01,0.838559,0.839222,0.917046,0.917715,0.918516,0.919185,0.863865,0.952603,0.954177,0.917046,0.915759,0.851712,0.908586,0.914841,0.854418
0.011,0.825473,0.826257,0.910082,0.910875,0.911826,0.912619,0.852538,0.948442,0.950314,0.910082,0.908557,0.839364,0.900554,0.907466,0.842566
0.012,0.812654,0.81357,0.90322,0.904146,0.905259,0.906185,0.841412,0.944319,0.94651,0.90322,0.90144,0.827197,0.892625,0.900163,0.830929
0.013,0.800083,0.801137,0.89645,0.897518,0.898804,0.899872,0.830469,0.940227,0.94276,0.89645,0.894399,0.815191,0.884762,0.889619,0.819486
0.014,0.787739,0.78894,0.889765,0.890982,0.892452,0.89367,0.819697,0.936164,0.939059,0.889765,0.887426,0.800314,0.87421,0.882159,0.80822
0.015,0.775608,0.776964,0.883155,0.884531,0.886194,0.887571,0.809082,0.932124,0.935403,0.883155,0.880514,0.788412,0.866167,0.874854,0.797117
0.016,0.763675,0.765194,0.876616,0.878158,0.880025,0.881568,0.798615,0.928106,0.931789,0.876616,0.870531,0.776671,0.85652,0.867628,0.786164
0.017,0.751929,0.753617,0.870141,0.871858,0.873938,0.875655,0.788287,0.924107,0.928213,0.870141,0.863479,0.765063,0.848057,0.860462,0.775349
0.018,0.740358,0.742223,0.863726,0.865624,0.867927,0.869826,0.77809,0.920124,0.924674,0.863726,0.856565,0.75357,0.839924,0.853342,0.764665
0.019,0.728954,0.731003,0.857366,0.859454,0.861989,0.864078,0.768016,0.916155,0.921168,0.857366,0.849726,0.74052,0.830163,0.843962,0.751467
0.02,0.717602,0.719873,0.851058,0.853343,0.85612,0.858405,0.758059,0.912199,0.917694,0.851058,0.842943,0.728956,0.8218,0.836668,0.740865
0.021,0.706359,0.708828,0.844798,0.847286,0.850314,0.852804,0.748214,0.908254,0.914249,0.844798,0.836207,0.717566,0.812284,0.829473,0.730407
0.022,0.695266,0.697941,0.838583,0.841283,0.84457,0.847271,0.738476,0.904318,0.910832,0.838583,0.829513,0.706296,0.803701,0.82234,0.720071
0.023,0.684317,0.687204,0.83241,0.835328,0.838884,0.841803,0.728839,0.900391,0.907442,0.829436,0.820882,0.694093,0.794261,0.813482,0.709844
0.024,0.673504,0.67661,0.826278,0.82942,0.833253,0.836397,0.7193,0.89647,0.904076,0.82316,0.813996,0.682655,0.785531,0.80613,0.699717
0.025,0.662824,0.666154,0.820183,0.823556,0.827674,0.83105,0.709854,0.892555,0.900734,0.816958,0.807224,0.671428,0.776038,0.7989,0.689683
0.026,0.652269,0.65583,0.814123,0.817735,0.822146,0.82576,0.700498,0.888646,0.897414,0.810809,0.800518,0.660329,0.767243,0.790547,0.678521
0.027,0.641837,0.645633,0.808097,0.811953,0.816666,0.820525,0.691229,0.88474,0.894115,0.804706,0.793859,0.648464,0.757635,0.782993,0.668388
0.028,0.631521,0.635559,0.802102,0.806209,0.811232,0.815342,0.682043,0.880838,0.890837,0.798643,0.785864,0.637239,0.748413,0.775657,0.658432
0.029,0.621318,0.625604,0.796138,0.800502,0.805842,0.81021,0.672939,0.876938,0.887577,0.792616,0.778942,0.626184,0.739083,0.767538,0.648592
0.03,0.611225,0.615764,0.790202,0.79483,0.800494,0.805126,0.663912,0.873039,0.884335,0.786624,0.772174,0.614725,0.72953,0.759861,0.638847
0.031,0.601237,0.606034,0.784294,0.789191,0.795188,0.800089,0.65496,0.869142,0.881111,0.780662,0.765481,0.603516,0.720269,0.752444,0.629188
0.032,0.591351,0.596412,0.778411,0.783583,0.78992,0.795098,0.646082,0.865246,0.877903,0.77307,0.75884,0.592508,0.710636,0.744305,0.61886
0.033,0.581565,0.586895,0.772554,0.778007,0.78469,0.79015,0.637275,0.861349,0.87471,0.766952,0.750968,0.581271,0.700978,0.736633,0.609072
0.034,0.571875,0.577479,0.76672,0.77246,0.779497,0.785244,0.628537,0.857452,0.871533,0.760925,0.744136,0.57013,0.691439,0.729173,0.599446
0.035,0.562279,0.568162,0.760908,0.76694,0.774339,0.780379,0.619866,0.853553,0.868369,0.754953,0.737407,0.559185,0.681792,0.72092,0.589928
0.036,0.552773,0.55894,0.755118,0.761449,0.769215,0.775554,0.61126,0.849654,0.86522,0.749024,0.730741,0.548054,0.671958,0.713285,0.580498
0.037,0.543357,0.549812,0.749349,0.755983,0.764124,0.770767,0.602718,0.845752,0.862083,0.74313,0.723064,0.537019,0.662156,0.705246,0.570725
0.038,0.534027,0.540775,0.743599,0.750542,0.759064,0.766018,0.594238,0.841848,0.858959,0.737267,0.716215,0.526155,0.652377,0.697418,0.561151
0.039,0.524731,0.531827,0.737868,0.745126,0.754035,0.761304,0.585818,0.837941,0.855846,0.730344,0.709469,0.515073,0.642536,0.68955,0.551738
0.04,0.515489,0.522901,0.732156,0.739733,0.749036,0.756626,0.577457,0.834031,0.852745,0.724269,0.702147,0.504157,0.632518,0.681528,0.542431
0.041,0.506328,0.514049,0.726461,0.734363,0.744066,0.751982,0.569154,0.830118,0.849654,0.718306,0.695156,0.493306,0.622487,0.673763,0.533209
